,state,city,cityPopulation,populationBySex,medianAge,zipCodes,medianIncome,costOfLiving
0,Alabama,Abernant-Alabama.html,"Population in July 2007: 7,599.","Males: 3,791  (49.9%)Females: 3,808  (50.1%)",Median resident age:34.3 yearsAlabama median age:35.8 years,Zip code: 35111,"Estimated median household income in 2017: $66,853 (it was $44,007 in 2000)
Abernant:$66,853AL:$48,123
Estimated per capita income in 2017: $24,356 (it was $18,103 in 2000)
Abernant CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $171,962 (it was $98,000 in 2000)
Abernant:$171,962AL:$141,300
Mean prices in 2017: all housing units: $197,119; detached houses: $202,641; townhouses or other attached units: $595,044; in 3-to-4-unit structures: over $1,000,000; in 5-or-more-unit structures: $299,739; mobile homes: $94,634","March 2019 cost of living index in Abernant: 85.5 (less than average, U.S. average is 100)"
1,Alabama,Hope-Hull-Alabama.html,"Population in July 2007: 8,913.","Males: 4,178  (46.9%)Females: 4,735  (53.1%)",Median resident age:36.1 yearsAlabama median age:35.8 years,Zip code: 36043,"Estimated median household income in 2017: $45,357 (it was $35,673 in 2000)
Hope Hull:$45,357AL:$48,123
Estimated per capita income in 2017: $20,286 (it was $15,467 in 2000)
Hope Hull CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $97,547 (it was $64,600 in 2000)
Hope Hull:$97,547AL:$141,300","March 2019 cost of living index in Hope Hull: 84.0 (less than average, U.S. average is 100)"
2,Alabama,Long-Island-Alabama.html,"Population in July 2007: 6,081.","Males: 2,990  (49.2%)Females: 3,091  (50.8%)",Median resident age:35.8 yearsAlabama median age:35.8 years,Zip code: 35966,"Estimated median household income in 2017: $39,416 (it was $31,028 in 2000)
Long Island:$39,416AL:$48,123
Estimated per capita income in 2017: $18,115 (it was $13,445 in 2000)
Long Island CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $104,393 (it was $58,000 in 2000)
Long Island:$104,393AL:$141,300","March 2019 cost of living index in Long Island: 84.0 (less than average, U.S. average is 100)"
3,Alabama,Langdale-Alabama.html,"Population in July 2007: 13,528.","Males: 6,354  (47.0%)Females: 7,174  (53.0%)",Median resident age:37.3 yearsAlabama median age:35.8 years,Zip code: 36854,"Estimated median household income in 2017: $39,491 (it was $30,298 in 2000)
Langdale:$39,491AL:$48,123
Estimated per capita income in 2017: $22,869 (it was $15,297 in 2000)
Langdale CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $87,690 (it was $53,800 in 2000)
Langdale:$87,690AL:$141,300","March 2019 cost of living index in Langdale: 84.1 (less than average, U.S. average is 100)"
4,Alabama,Alexander-City-Alabama.html,"Population in 2017: 14,595 (62% urban, 38% rural). Population change since 2000: -2.8%
 

","Males: 6,663  (45.7%)Females: 7,932  (54.3%)",Median resident age:39.6 yearsAlabama median age:38.9 years,"Zip codes: 35010, 35089, 36861.Alexander City Zip Code Map","Estimated median household income in 2017: $33,486 (it was $29,309 in 2000)
Alexander City:$33,486AL:$48,123
Estimated per capita income in 2017: $20,246 (it was $17,305 in 2000)
Alexander City city income, earnings, and wages data
Estimated median house or condo value in 2017: $112,527 (it was $70,800 in 2000)
Alexander City:$112,527AL:$141,300
Mean prices in 2017: all housing units: $164,772; detached houses: $165,150; townhouses or other attached units: $134,634; mobile homes: $53,824","March 2019 cost of living index in Alexander City: 79.7 (low, U.S. average is 100)"
5,Alabama,Laceys-Spring-Alabama.html,"Population in July 2007: 9,055.","Males: 4,575  (50.5%)Females: 4,480  (49.5%)",Median resident age:36.8 yearsAlabama median age:35.8 years,Zip code: 35754,"Estimated median household income in 2017: $46,068 (it was $35,861 in 2000)
Laceys Spring:$46,068AL:$48,123
Estimated per capita income in 2017: $22,121 (it was $16,848 in 2000)
Laceys Spring CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $111,568 (it was $64,600 in 2000)
Laceys Spring:$111,568AL:$141,300","March 2019 cost of living index in Laceys Spring: 83.4 (less than average, U.S. average is 100)"
6,Alabama,Bremen-Alabama.html,"Population in July 2007: 8,517.","Males: 4,287  (50.3%)Females: 4,230  (49.7%)",Median resident age:37.3 yearsAlabama median age:35.8 years,Zip code: 35057,"Estimated median household income in 2017: $47,806 (it was $34,234 in 2000)
Bremen:$47,806AL:$48,123
Estimated per capita income in 2017: $22,781 (it was $17,437 in 2000)
Bremen CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $113,182 (it was $72,100 in 2000)
Bremen:$113,182AL:$141,300
Mean prices in 2017: all housing units: $174,229; detached houses: $195,880; townhouses or other attached units: $205,930; in 2-unit structures: $81,040; in 5-or-more-unit structures: $498,176; mobile homes: $78,904; occupied boats, rvs, vans, etc.: $306,128","March 2019 cost of living index in Bremen: 84.2 (less than average, U.S. average is 100)"
7,Alabama,Greenwood-Alabama.html,"Population in July 2007: 14,409.","Males: 7,100  (49.3%)Females: 7,309  (50.7%)",Median resident age:36.2 yearsAlabama median age:35.8 years,Zip code: 35022,"Estimated median household income in 2017: $74,196 (it was $53,944 in 2000)
Greenwood:$74,196AL:$48,123
Estimated per capita income in 2017: $33,998 (it was $23,141 in 2000)
Greenwood CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $261,121 (it was $143,600 in 2000)
Greenwood:$261,121AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Greenwood: 93.6 (less than average, U.S. average is 100)"
8,Alabama,Tanner-Williams-Alabama.html,"Population in July 2007: 60,211.","Males: 29,088  (48.3%)Females: 31,123  (51.7%)",Median resident age:32.2 yearsAlabama median age:35.8 years,Zip code: 36695,"Estimated median household income in 2017: $58,956 (it was $43,183 in 2000)
Tanner-Williams:$58,956AL:$48,123
Estimated per capita income in 2017: $30,983 (it was $21,083 in 2000)
Tanner-Williams CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $166,826 (it was $97,400 in 2000)
Tanner-Williams:$166,826AL:$141,300
Mean prices in 2017: all housing units: $169,889; detached houses: $176,147; townhouses or other attached units: $225,466; in 2-unit structures: $186,112; in 3-to-4-unit structures: $179,569; in 5-or-more-unit structures: $276,341; mobile homes: $66,532; occupied boats, rvs, vans, etc.: $153,673","March 2019 cost of living index in Tanner-Williams: 88.5 (less than average, U.S. average is 100)"
9,Alabama,Demopolis-Alabama.html,"Population in 2017: 6,851 (86% urban, 14% rural). Population change since 2000: -9.1%
 

","Males: 2,890  (42.2%)Females: 3,961  (57.8%)",Median resident age:38.8 yearsAlabama median age:38.9 years,"Zip codes: 36732, 36742.Demopolis Zip Code Map","Estimated median household income in 2017: $27,864 (it was $26,481 in 2000)
Demopolis:$27,864AL:$48,123
Estimated per capita income in 2017: $21,950 (it was $16,687 in 2000)
Demopolis city income, earnings, and wages data
Estimated median house or condo value in 2017: $123,544 (it was $72,400 in 2000)
Demopolis:$123,544AL:$141,300
Mean prices in 2017: all housing units: $138,691; detached houses: $147,631; mobile homes: $37,269","March 2019 cost of living index in Demopolis: 80.1 (low, U.S. average is 100)"
