State,City,City Population,Median Age (Years),Zip Codes,Median Income,Cost Of Living,Female Population,Male Population
alabama,abernant ,"7,599",34.3,35111,"$66,853 ", 85.5 /100,50.10%,49.90%
alabama,hope hull ,"8,913",36.1,36043,"$45,357 ", 84.0 /100,53.10%,46.90%
alabama,long island ,"6,081",35.8,35966,"$39,416 ", 84.0 /100,50.80%,49.20%
alabama,langdale ,"13,528",37.3,36854,"$39,491 ", 84.1 /100,53.00%,47.00%
alabama,alexander city ,"14,595",39.6,35010,"$33,486 ", 79.7 /100,54.30%,45.70%
alabama,laceys spring ,"9,055",36.8,35754,"$46,068 ", 83.4 /100,49.50%,50.50%
alabama,bremen ,"8,517",37.3,35057,"$47,806 ", 84.2 /100,49.70%,50.30%
alabama,greenwood ,"14,409",36.2,35022,"$74,196 ", 93.6 /100,50.70%,49.30%
alabama,tanner williams ,"60,211",32.2,36695,"$58,956 ", 88.5 /100,51.70%,48.30%
alabama,demopolis ,"6,851",38.8,36732,"$27,864 ", 80.1 /100,57.80%,42.20%
alabama,monroeville ,"5,927",41,36460,"$26,877 ", 78.8 /100,57.80%,42.20%
alabama,pike road ,"9,322",39.5,36013,"$100,692 ", 83.9 /100,49.90%,50.10%
alabama,albertville ,"21,392",31.5,35950,"$37,959 ", 78.8 /100,52.40%,47.60%
alabama,simcoe ,"7,557",34.8,35058,"$47,107 ", 84.5 /100,49.60%,50.40%
alabama,smiths ,"24,633",31.8,36877,"$75,222 ", 86.3 /100,50.40%,49.60%
alabama,enterprise ,"28,247",37.5,36330,"$56,233 ", 82.1 /100,51.50%,48.50%
alabama,decatur ,"54,405",39.4,35601,"$44,115 ", 81.7 /100,51.70%,48.30%
alabama,boaz ,"9,652",36.1,35956,"$41,863 ", 78.3 /100,49.90%,50.10%
alabama,montevallo ,"6,636",28.5,35115,"$37,400 ", 87.8 /100,55.10%,44.90%
alabama,millbrook ,"15,318",34.4,36066,"$63,861 ", 85.2 /100,55.20%,44.80%
alabama,satsuma ,"6,154",44.3,36572,"$61,153 ", 84.6 /100,52.30%,47.70%
alabama,hartselle ,"14,373",40.9,35640,"$58,282 ", 81.3 /100,49.00%,51.00%
alabama,lake purdy ,"7,362",29.4,35242,"$71,594 ", 101.1 /100,49.00%,51.00%
alabama,semmes ,"17,710",33.5,36575,"$54,321 ", 85.6 /100,50.10%,49.90%
alabama,athens ,"25,616",40.5,35611,"$50,439 ", 81.8 /100,51.00%,49.00%
alabama,tillmans corner ," 17,398. Population change since 2000: +10.9",37.7,36619,"$51,502 ", 82.9 /100,51.00%,49.00%
alabama,meridianville ," 6,021. Population change since 2000: +46.2",46.2,35759,"$73,577 ", 82.7 /100,49.30%,50.70%
alabama,vestavia hills ,"34,291",40,35216,"$101,429 ", 89.3 /100,51.30%,48.70%
alabama,saks ," 10,744. Population change since 2000: +0.4",38.2,36277,"$43,399 ", 80.4 /100,50.50%,49.50%
alabama,pell city ,"13,676",38.4,35054,"$43,471 ", 87.4 /100,51.00%,49.00%
alabama,fairfield ,"10,683",36.8,35064,"$37,230 ", 86.6 /100,58.90%,41.10%
alabama,gardendale ,"13,906",41.7,35071,"$64,858 ", 87.3 /100,52.20%,47.80%
alabama,saraland ,"14,576",38.3,36572,"$57,749 ", 83.8 /100,55.80%,44.20%
alabama,pleasant grove ,"10,104",40.7,35127,"$66,584 ", 87.9 /100,54.70%,45.30%
alabama,clay ,"9,599",44,35126,"$76,815 ", 86.8 /100,54.00%,46.00%
alabama,oxford ,"21,180",39.3,36203,"$57,094 ", 81.6 /100,52.10%,47.90%
alabama,sheffield ,"8,930",44.2,35660,"$34,652 ", 81.1 /100,54.30%,45.70%
alabama,homewood ,"25,476",31.5,35216,"$73,506 ", 90.8 /100,51.40%,48.60%
alabama,spanish fort ,"8,644",40.3,36527,"$78,684 ", 85.7 /100,52.30%,47.70%
alabama,hueytown ,"15,460",38.2,35006,"$46,039 ", 87.0 /100,52.30%,47.70%
alabama,huntsville ,"194,585",37.3,35649,"$50,704 ", 83.4 /100,52.60%,47.40%
alabama,northport ,"25,094",34.8,35401,"$57,963 ", 85.7 /100,53.60%,46.40%
alabama,irondale ,"12,468",37.8,35210,"$51,859 ", 87.4 /100,54.60%,45.40%
alabama,hamilton ,"6,646",41.6,35570,"$40,937 ", 80.6 /100,50.90%,49.10%
alabama,meadowbrook ," 8,769. Population change since 2000: +86.7",41.5,35242,"$101,127 ", 88.5 /100,52.90%,47.10%
alabama,birmingham ,"210,710",35.8,35061,"$33,553 ", 86.7 /100,52.30%,47.70%
alabama,pelham ,"23,493",39.2,35124,"$73,260 ", 87.8 /100,51.50%,48.50%
alabama,tarrant ,"6,201",39.3,35217,"$28,127 ", 86.7 /100,52.00%,48.00%
alabama,mobile ,"190,265",37.3,36575,"$40,316 ", 83.8 /100,51.90%,48.10%
