,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Phoenix, AZ",phoenix,arizona,"Counter({'Restaurants': 11465, 'Shopping': 9840, 'Home Services': 9133, 'Health & Medical': 7587, 'Food': 6368, 'Beauty & Spas': 6219, 'Local Services': 5439, 'Automotive': 4892, 'Active Life': 3095, 'Professional Services': 2716, 'Event Planning & Services': 2715, 'Nightlife': 2499, 'Hotels & Travel': 1492, 'Arts & Entertainment': 1478, 'Financial Services': 1421, 'Education': 1312, 'Pets': 1306, 'Local Flavor': 380, 'Religious Organizations': 225, 'Mass Media': 118})",33.5221425,-112.0184807,phoenix,3095,1478,4892,6219,1312,2715,1421,6368,7587,9133,1492,380,5439,118,2499,1306,2716,225,11465,9840
"Mississauga, ON",mississauga,ON,"Counter({'Restaurants': 14005, 'Food': 6814, 'Shopping': 4980, 'Beauty & Spas': 3194, 'Nightlife': 2408, 'Health & Medical': 1608, 'Event Planning & Services': 1567, 'Local Services': 1440, 'Active Life': 1306, 'Automotive': 1190, 'Home Services': 960, 'Arts & Entertainment': 853, 'Hotels & Travel': 826, 'Pets': 553, 'Professional Services': 448, 'Education': 397, 'Local Flavor': 192, 'Financial Services': 166, 'Mass Media': 32, 'Religious Organizations': 30})",43.60549897,-79.65228891,mississauga,1306,853,1190,3194,397,1567,166,6814,1608,960,826,192,1440,32,2408,553,448,30,14005,4980
"Charlotte, NC",charlotte,north carolina,"Counter({'Restaurants': 4660, 'Shopping': 2632, 'Food': 2452, 'Beauty & Spas': 1689, 'Home Services': 1618, 'Health & Medical': 1277, 'Automotive': 1201, 'Local Services': 1156, 'Nightlife': 1022, 'Event Planning & Services': 925, 'Active Life': 821, 'Hotels & Travel': 521, 'Arts & Entertainment': 474, 'Pets': 428, 'Professional Services': 404, 'Education': 235, 'Financial Services': 179, 'Local Flavor': 136, 'Religious Organizations': 50, 'Mass Media': 16})",35.092564,-80.859132,charlotte,821,474,1201,1689,235,925,179,2452,1277,1618,521,136,1156,16,1022,428,404,50,4660,2632
"Goodyear, AZ",goodyear,arizona,"Counter({'Restaurants': 16054, 'Shopping': 13902, 'Home Services': 12517, 'Health & Medical': 10914, 'Beauty & Spas': 9194, 'Food': 8911, 'Local Services': 7485, 'Automotive': 6644, 'Active Life': 4430, 'Event Planning & Services': 3804, 'Professional Services': 3763, 'Nightlife': 3650, 'Arts & Entertainment': 2109, 'Hotels & Travel': 2081, 'Financial Services': 1992, 'Education': 1855, 'Pets': 1816, 'Local Flavor': 516, 'Religious Organizations': 317, 'Mass Media': 159})",33.45561297,-112.3955964,goodyear,4430,2109,6644,9194,1855,3804,1992,8911,10914,12517,2081,516,7485,159,3650,1816,3763,317,16054,13902
"Calgary, AB",calgary,AB,"Counter({'Restaurants': 3033, 'Food': 1563, 'Shopping': 1515, 'Beauty & Spas': 832, 'Nightlife': 675, 'Automotive': 540, 'Health & Medical': 453, 'Home Services': 446, 'Local Services': 402, 'Active Life': 363, 'Event Planning & Services': 352, 'Arts & Entertainment': 243, 'Hotels & Travel': 235, 'Pets': 187, 'Professional Services': 126, 'Education': 112, 'Local Flavor': 67, 'Financial Services': 46, 'Mass Media': 15, 'Religious Organizations': 7})",50.9436456,-114.0018283,calgary,363,243,540,832,112,352,46,1563,453,446,235,67,402,15,675,187,126,7,3033,1515
"Las Vegas, NV",las vegas,nevada,"Counter({'Restaurants': 7788, 'Shopping': 6165, 'Home Services': 4833, 'Food': 4385, 'Health & Medical': 4115, 'Beauty & Spas': 4010, 'Local Services': 3184, 'Automotive': 2743, 'Nightlife': 2349, 'Event Planning & Services': 2175, 'Professional Services': 1924, 'Active Life': 1918, 'Arts & Entertainment': 1802, 'Hotels & Travel': 1351, 'Financial Services': 991, 'Education': 763, 'Pets': 643, 'Local Flavor': 307, 'Religious Organizations': 138, 'Mass Media': 86})",36.099872,-115.074574,las vegas,1918,1802,2743,4010,763,2175,991,4385,4115,4833,1351,307,3184,86,2349,643,1924,138,7788,6165
"Glendale, AZ",glendale,arizona,"Counter({'Restaurants': 33318, 'Shopping': 28880, 'Home Services': 26165, 'Health & Medical': 22558, 'Beauty & Spas': 18907, 'Food': 18460, 'Local Services': 15640, 'Automotive': 14035, 'Active Life': 9180, 'Event Planning & Services': 7856, 'Professional Services': 7811, 'Nightlife': 7516, 'Arts & Entertainment': 4345, 'Hotels & Travel': 4329, 'Financial Services': 4125, 'Education': 3827, 'Pets': 3786, 'Local Flavor': 1059, 'Religious Organizations': 657, 'Mass Media': 326})",33.6548146,-112.1885676,glendale,9180,4345,14035,18907,3827,7856,4125,18460,22558,26165,4329,1059,15640,326,7516,3786,7811,657,33318,28880
"Fairview Park, OH",fairview park,ohio,"Counter({'Restaurants': 5039, 'Food': 2384, 'Shopping': 2227, 'Nightlife': 1341, 'Beauty & Spas': 1195, 'Automotive': 1049, 'Home Services': 921, 'Event Planning & Services': 872, 'Local Services': 829, 'Health & Medical': 739, 'Active Life': 661, 'Hotels & Travel': 506, 'Arts & Entertainment': 469, 'Pets': 386, 'Professional Services': 217, 'Education': 157, 'Financial Services': 82, 'Local Flavor': 82, 'Religious Organizations': 30, 'Mass Media': 12})",41.44082527,-81.85409655,fairview park,661,469,1049,1195,157,872,82,2384,739,921,506,82,829,12,1341,386,217,30,5039,2227
"Mooresville, NC",mooresville,north carolina,"Counter({'Restaurants': 5786, 'Shopping': 3196, 'Food': 3015, 'Beauty & Spas': 2043, 'Home Services': 1872, 'Health & Medical': 1531, 'Automotive': 1475, 'Local Services': 1374, 'Nightlife': 1213, 'Event Planning & Services': 1111, 'Active Life': 1023, 'Hotels & Travel': 620, 'Arts & Entertainment': 569, 'Pets': 527, 'Professional Services': 476, 'Education': 292, 'Financial Services': 199, 'Local Flavor': 159, 'Religious Organizations': 57, 'Mass Media': 16})",35.52740981,-80.86800321,mooresville,1023,569,1475,2043,292,1111,199,3015,1531,1872,620,159,1374,16,1213,527,476,57,5786,3196
"Mentor-on-the-Lake, OH",mentoronthelake,ohio,"Counter({'Restaurants': 3438, 'Food': 1592, 'Shopping': 1421, 'Nightlife': 972, 'Beauty & Spas': 707, 'Automotive': 659, 'Home Services': 622, 'Event Planning & Services': 595, 'Local Services': 521, 'Health & Medical': 450, 'Active Life': 409, 'Arts & Entertainment': 352, 'Hotels & Travel': 343, 'Pets': 225, 'Professional Services': 147, 'Education': 114, 'Local Flavor': 67, 'Financial Services': 66, 'Religious Organizations': 20, 'Mass Media': 11})",41.70852,-81.359556,mentoronthelake,409,352,659,707,114,595,66,1592,450,622,343,67,521,11,972,225,147,20,3438,1421
"Willoughby, OH",willoughby,ohio,"Counter({'Restaurants': 12319, 'Food': 5790, 'Shopping': 5233, 'Nightlife': 3407, 'Beauty & Spas': 2722, 'Automotive': 2470, 'Home Services': 2250, 'Event Planning & Services': 2135, 'Local Services': 1945, 'Health & Medical': 1715, 'Active Life': 1558, 'Hotels & Travel': 1251, 'Arts & Entertainment': 1207, 'Pets': 877, 'Professional Services': 529, 'Education': 398, 'Local Flavor': 226, 'Financial Services': 217, 'Religious Organizations': 74, 'Mass Media': 34})",41.6398599,-81.4063963,willoughby,1558,1207,2470,2722,398,2135,217,5790,1715,2250,1251,226,1945,34,3407,877,529,74,12319,5233
"Richmond Hill, ON",richmond hill,ON,"Counter({'Restaurants': 27209, 'Food': 13268, 'Shopping': 9648, 'Beauty & Spas': 6184, 'Nightlife': 4722, 'Health & Medical': 3121, 'Event Planning & Services': 2986, 'Local Services': 2775, 'Active Life': 2530, 'Automotive': 2269, 'Home Services': 1842, 'Arts & Entertainment': 1671, 'Hotels & Travel': 1540, 'Pets': 1094, 'Professional Services': 863, 'Education': 772, 'Local Flavor': 375, 'Financial Services': 319, 'Mass Media': 63, 'Religious Organizations': 56})",43.86150258,-79.38849919,richmond hill,2530,1671,2269,6184,772,2986,319,13268,3121,1842,1540,375,2775,63,4722,1094,863,56,27209,9648
"Scottsdale, AZ",scottsdale,arizona,"Counter({'Restaurants': 67391, 'Shopping': 58444, 'Home Services': 53154, 'Health & Medical': 45853, 'Beauty & Spas': 38300, 'Food': 37404, 'Local Services': 31705, 'Automotive': 28367, 'Active Life': 18711, 'Event Planning & Services': 15928, 'Professional Services': 15858, 'Nightlife': 15146, 'Arts & Entertainment': 8772, 'Hotels & Travel': 8729, 'Financial Services': 8370, 'Education': 7800, 'Pets': 7683, 'Local Flavor': 2144, 'Religious Organizations': 1329, 'Mass Media': 656})",33.600071,-111.977371,scottsdale,18711,8772,28367,38300,7800,15928,8370,37404,45853,53154,8729,2144,31705,656,15146,7683,15858,1329,67391,58444
"Toronto, ON",toronto,ON,"Counter({'Restaurants': 54019, 'Food': 26384, 'Shopping': 19209, 'Beauty & Spas': 12280, 'Nightlife': 9405, 'Health & Medical': 6191, 'Event Planning & Services': 5954, 'Local Services': 5531, 'Active Life': 5021, 'Automotive': 4509, 'Home Services': 3675, 'Arts & Entertainment': 3324, 'Hotels & Travel': 3069, 'Pets': 2176, 'Professional Services': 1727, 'Education': 1535, 'Local Flavor': 747, 'Financial Services': 635, 'Mass Media': 125, 'Religious Organizations': 113})",43.6450415,-79.3957986,toronto,5021,3324,4509,12280,1535,5954,635,26384,6191,3675,3069,747,5531,125,9405,2176,1727,113,54019,19209
"North Las Vegas, NV",north las vegas,nevada,"Counter({'Restaurants': 9127, 'Shopping': 7217, 'Home Services': 5893, 'Food': 5177, 'Health & Medical': 5057, 'Beauty & Spas': 4789, 'Local Services': 3866, 'Automotive': 3359, 'Nightlife': 2599, 'Event Planning & Services': 2491, 'Active Life': 2387, 'Professional Services': 2249, 'Arts & Entertainment': 2015, 'Hotels & Travel': 1539, 'Financial Services': 1200, 'Education': 938, 'Pets': 800, 'Local Flavor': 364, 'Religious Organizations': 167, 'Mass Media': 97})",36.2258515,-115.1328004,north las vegas,2387,2015,3359,4789,938,2491,1200,5177,5057,5893,1539,364,3866,97,2599,800,2249,167,9127,7217
"Pittsburgh, PA",pittsburgh,pennsylvania,"Counter({'Restaurants': 3957, 'Food': 2028, 'Shopping': 1840, 'Nightlife': 1020, 'Beauty & Spas': 945, 'Home Services': 839, 'Automotive': 780, 'Health & Medical': 680, 'Local Services': 678, 'Event Planning & Services': 649, 'Active Life': 550, 'Arts & Entertainment': 387, 'Hotels & Travel': 351, 'Pets': 264, 'Professional Services': 196, 'Education': 146, 'Local Flavor': 113, 'Financial Services': 100, 'Religious Organizations': 45, 'Mass Media': 17})",40.49617695,-80.24601124,pittsburgh,550,387,780,945,146,649,100,2028,680,839,351,113,678,17,1020,264,196,45,3957,1840
